feature,weight_l1,weight_l2
Subverting Expectations,0.8395715562826773,0.8192309041875042
Dark Humor,0.7180141631710163,0.8763560432926945
Clear Punchline,0.6726106260979314,0.7050037742117677
Avoid Cliché,0.2903848394231544,0.3355780063511996
Memorable Imagery,0.1823748838719272,0.18847176595760698
Anthropomorphism,0.16894659433465886,0.22698658531274166
Universality,0.1378734913005397,0.1737468600488011
Subtlety Over Obviousness,0.1131584367703097,0.1478511788730033
Wordplay with Purpose,0.08457135006949469,0.1623147630930673
Self-Deprecation,0.0,0.0
Exaggeration,0.0,0.0
Natural Dialogue,0.0,0.0
Character-Driven Humor,0.0,0.007817648964672802
Clever Analogies,-0.18237488387267475,-0.6742489717829905
Fresh Perspective,-0.317387110149541,-0.3966338758006818
Satirical Edge,-0.42701616829323846,-0.4403555861673031
Economy of Words,-0.6572749083296053,-0.7655711484527572
